Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Technological specialization diploma holders,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,6,14.142857142857142,6,14.125,Graduate
Change of course,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,0,0.0,3,13.333333333333334,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,3,12.333333333333334,3,10.571428571428571,Dropout
1st phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,10.2,3,12.0,Graduate
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,5,12.6,8,11.0,Graduate
Change of course,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,4,12.25,3,11.666666666666666,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,3,10.666666666666666,4,12.0,Dropout
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,4,12.75,2,13.0,Dropout
Over 23 years old,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other administrative support staff,cleaning workers,No,Yes,6,11.333333333333334,3,11.333333333333334,Dropout
Over 23 years old,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,10.75,3,11.333333333333334,Dropout
Change of course,Informatics Engineering,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,5,12.0,2,10.5,Dropout
2nd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Yes,Yes,6,12.528571428571428,6,12.416666666666666,Graduate
Change of course,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Dropout
Technological specialization diploma holders,Agronomy,Higher Education,Higher education - doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,3,10.666666666666666,2,11.5,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,Yes,Yes,6,13.125,6,12.714285714285714,Graduate
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,5,12.4,5,11.8,Graduate
3rd phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,No,5,14.0,4,14.8,Dropout
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,5,11.4,3,11.0,Graduate
Technological specialization diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,4,11.75,4,10.5,Dropout
1st phase - general contingent,Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,No,Yes,6,13.428571428571429,4,11.5,Graduate
Transfer,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,11.8,2,11.5,Dropout
Technological specialization diploma holders,Informatics Engineering,Specialized higher studies course,Higher education - doctorate,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,Yes,3,14.0,1,14.0,Dropout
2nd phase - general contingent,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,12.333333333333334,5,10.8,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,5,10.666666666666666,2,11.0,Dropout
3rd phase - general contingent,Informatics Engineering,Higher Education - Bachelor's Degree,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,11.833333333333334,5,14.714285714285714,Graduate
1st phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,11.666666666666666,6,12.166666666666666,Graduate
Change of course,Communication Design,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,5,16.0,4,16.5,Graduate
Over 23 years old,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,7,14.085714285714284,7,14.085714285714284,Graduate
Change of institution/course,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,1,10.0,Dropout
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,15.8,5,13.714285714285714,Graduate
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,4,12.5,3,14.666666666666666,Dropout
Change of course,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,4,12.5,4,13.25,Graduate
Over 23 years old,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,1,10.0,1,11.0,Dropout
Technological specialization diploma holders,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,0,0.0,2,11.666666666666666,Dropout
1st phase - general contingent,Agronomy,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,4,12.0,4,12.5,Graduate
1st phase - general contingent,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,13,12.153846153846152,11,11.909090909090908,Graduate
1st phase - general contingent,Journalism and Communication,Higher Education - Bachelor's Degree,Higher Education,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,No,6,16.5,5,13.8,Graduate
Technological specialization diploma holders,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,6,11.285714285714286,5,11.77777777777778,Dropout
2nd phase - general contingent,Animation and Multimedia Design,Technological specialization course,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,Yes,5,14.0,6,12.0,Graduate
Over 23 years old,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,4,13.75,3,12.0,Dropout
Short cycle diploma holders,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,10,11.8,9,11.444444444444445,Graduate
2nd phase - general contingent,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,4,11.5,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Higher Education,Basic education 1st cycle (4th/5th year) or equiv.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,13.4,3,10.666666666666666,Graduate
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,2,13.5,3,12.333333333333334,Dropout
Change of course,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,3,11.333333333333334,3,12.333333333333334,Dropout
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Administrative staff,No,Yes,5,11.4,5,12.4,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,3,10.666666666666666,4,12.5,Dropout
Over 23 years old,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Other administrative support staff,"Unskilled workers in agriculture, animal production, fisheries and forestry",No,Yes,7,13.571428571428571,5,13.4,Graduate
2nd phase - general contingent,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,12.0,3,13.0,Dropout
Change of course,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,0,0.0,3,11.666666666666666,Dropout
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,5,11.4,3,11.0,Dropout
Over 23 years old,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,11.333333333333334,4,12.6,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",No,No,0,0.0,0,0.0,Dropout
International student (bachelor),Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,12,15.083333333333334,11,13.083333333333334,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,3,10.0,1,13.0,Dropout
1st phase - general contingent,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,10.0,1,16.0,Dropout
Technological specialization diploma holders,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,Yes,Yes,5,13.833333333333334,6,12.3,Graduate
Technological specialization diploma holders,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Higher education - doctorate,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,5,11.6,2,11.0,Dropout
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.666666666666666,5,12.2,Graduate
Change of course,Animation and Multimedia Design,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",No,Yes,3,12.666666666666666,2,12.5,Dropout
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,3,13.666666666666666,4,10.25,Dropout
1st phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,5,10.8,2,13.5,Graduate
International student (bachelor),Nursing,Higher Education - Bachelor's Degree,Higher Education,Administrative staff,Health professionals,No,Yes,4,11.575,5,12.419999999999998,Graduate
2nd phase - general contingent,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled construction workers and the like, except electricians",cleaning workers,No,Yes,4,14.25,1,10.0,Dropout
2nd phase - general contingent,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Bachelor's Degree,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Specialists in Intellectual and Scientific Activities,Yes,Yes,6,12.833333333333334,6,13.0,Graduate
2nd phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,5,11.4,4,10.75,Dropout
Change of course,Equinculture,Higher Education - Master's,Higher Education,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,Yes,5,14.857142857142858,5,15.142857142857142,Graduate
Technological specialization diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,3,11.666666666666666,4,11.5,Dropout
2nd phase - general contingent,Communication Design,Higher Education,Higher Education,Administrative staff,Administrative staff,Yes,Yes,6,12.5,6,14.333333333333334,Graduate
3rd phase - general contingent,Informatics Engineering,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Workers in food processing, woodworking, clothing and other industries and crafts",Meal preparation assistants,No,Yes,3,10.666666666666666,3,11.333333333333334,Dropout
1st phase - general contingent,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,4,10.5,2,10.5,Dropout
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
Change of course,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled construction workers and the like, except electricians","Office workers, secretaries in general and data processing operators",No,Yes,5,11.5,2,10.666666666666666,Dropout
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,1,12.0,0,0.0,Dropout
Over 23 years old,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,3,10.666666666666666,5,11.2,Graduate
Over 23 years old,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,11.6,5,12.2,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,4,12.0,4,11.25,Dropout
3rd phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,3,12.0,3,12.666666666666666,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,Yes,2,10.5,1,11.0,Dropout
1st phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,12.2,5,12.2,Graduate
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,6,11.5,6,13.166666666666666,Dropout
2nd phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,2,10.0,1,12.0,Dropout
2nd phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,2,13.0,4,12.0,Dropout
2nd phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,5,13.4,5,12.0,Graduate
2nd phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,4,12.25,3,11.333333333333334,Dropout
Transfer,Communication Design,Higher Education - Bachelor's Degree,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,9,11.555555555555555,10,11.9,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,7,12.2,7,12.2,Graduate
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,4,10.8,4,11.75,Graduate
Over 23 years old,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,4,12.75,5,14.333333333333334,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,12.714285714285714,4,13.0,Graduate
Change of course,Communication Design,Technological specialization course,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,7,13.285714285714286,7,12.142857142857142,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,5,13.976666666666668,8,13.22222222222222,Graduate
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,12.0,6,12.5,Graduate
Over 23 years old,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,7,11.635714285714286,7,11.635714285714286,Graduate
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,12.5,5,11.285714285714286,Graduate
Over 23 years old,Management (evening attendance),Unknown,Unknown,(blank),(blank),No,Yes,3,11.0,4,12.5,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,6,10.666666666666666,4,11.25,Graduate
Technological specialization diploma holders,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Intermediate level technicians from legal, social, sports, cultural and similar services","Intermediate level technicians from legal, social, sports, cultural and similar services",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Informatics Engineering,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Unskilled workers in agriculture, animal production, fisheries and forestry","Office workers, secretaries in general and data processing operators",No,Yes,5,10.8,3,12.0,Graduate
Change of institution/course,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,5,11.0,3,10.0,Dropout
1st phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Nursing,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,teachers,Other administrative support staff,No,Yes,4,14.4,6,13.5,Graduate
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled construction workers and the like, except electricians",cleaning workers,No,No,4,12.25,4,13.4,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Oral Hygiene,Higher Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,No,Yes,7,11.95,7,12.042857142857144,Graduate
Over 23 years old,Oral Hygiene,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Management,Higher Education,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,3,11.0,4,11.75,Dropout
Change of course,Veterinary Nursing,Higher Education,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,4,11.75,3,13.666666666666666,Dropout
1st phase - general contingent,Equinculture,Higher education - doctorate,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,1,11.0,2,10.5,Dropout
Over 23 years old,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,No,6,15.428571428571429,5,14.5,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,No,Yes,7,14.014285714285714,7,14.014285714285714,Graduate
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,2,10.333333333333334,3,13.333333333333334,Dropout
