Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Over 23 years old,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,11.75,0,0.0,Dropout
3rd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,4,11.25,4,11.8,Dropout
Over 23 years old,Equinculture,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,5,11.571428571428571,0,0.0,Dropout
Change of course,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,No,Yes,4,12.75,3,12.666666666666666,Dropout
Over 23 years old,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,4,11.25,3,10.333333333333334,Dropout
Over 23 years old,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,6,14.333333333333334,6,15.0,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Change of course,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Administrative staff,Yes,Yes,20,13.5,20,13.5,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,7,12.444285714285714,7,11.347142857142858,Graduate
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,3,10.666666666666666,3,11.333333333333334,Dropout
1st phase - general contingent,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.666666666666666,5,12.4,Graduate
Over 23 years old,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,13.2,5,14.833333333333334,Graduate
Short cycle diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,10,12.7,11,12.181818181818182,Graduate
Over 23 years old,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,14.833333333333334,5,14.8,Graduate
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,4,11.5,1,12.0,Dropout
Over 23 years old,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,(blank),Other Situation,No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,Yes,Yes,6,14.714285714285714,6,12.5,Graduate
Change of institution/course,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,No,4,10.5,7,10.428571428571429,Dropout
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,No,Yes,6,15.0,5,12.5,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,12.666666666666666,6,14.0,Graduate
Over 23 years old,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,No,Yes,6,13.166666666666666,6,13.666666666666666,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,13.0,6,12.5,Graduate
Over 23 years old,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,Yes,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,2,10.0,1,15.0,Dropout
Technological specialization diploma holders,Veterinary Nursing,Higher Education - Master's,Higher education - doctorate,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,6,13.333333333333334,5,13.375,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,3,12.333333333333334,6,13.333333333333334,Graduate
Change of institution/course,Biofuel Production Technologies,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,20,13.181818181818182,14,11.642857142857142,Graduate
Over 23 years old,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.513333333333334,7,13.071428571428571,Graduate
3rd phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,7,13.585714285714284,7,13.585714285714284,Graduate
1st phase - general contingent,Oral Hygiene,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,No,Yes,7,11.155555555555557,8,11.425,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,6,11.857142857142858,5,12.0,Graduate
2nd phase - general contingent,Animation and Multimedia Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Graduate
Change of course,Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,14,14.0,13,13.615384615384617,Graduate
Ordinance No. 854-B/99,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,No,5,12.0,0,0.0,Dropout
2nd phase - general contingent,Nursing,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,7,13.198571428571428,8,13.0625,Graduate
Ordinance No. 854-B/99,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,No,Yes,6,13.5,6,12.0,Graduate
1st phase - general contingent,Advertising and Marketing Management,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,6,13.333333333333334,5,12.8,Dropout
2nd phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Yes,Yes,6,12.166666666666666,4,12.0,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Yes,Yes,7,12.214285714285714,7,12.214285714285714,Graduate
2nd phase - general contingent,Tourism,Technological specialization course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.666666666666666,6,13.0,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.285714285714286,6,13.5,Graduate
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,13.0,6,13.0,Graduate
1st phase - general contingent,Tourism,Higher Education,Higher Education - Master's,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,12.142857142857142,6,11.166666666666666,Graduate
2nd phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,13.875714285714285,7,13.085714285714284,Graduate
2nd phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Yes,Yes,6,11.666666666666666,0,0.0,Dropout
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,6,13.153846153846152,3,11.0,Graduate
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,6,14.5,6,12.833333333333334,Dropout
2nd phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,14.44142857142857,8,13.65625,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Specialists in Intellectual and Scientific Activities,No,Yes,6,15.166666666666666,6,14.285714285714286,Graduate
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,Yes,Yes,5,11.6,4,12.625,Graduate
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,6,11.666666666666666,6,12.333333333333334,Graduate
Technological specialization diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,Yes,Yes,6,12.625,6,13.2,Graduate
1st phase - special contingent (Madeira Island),Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Yes,Yes,3,12.666666666666666,6,11.0,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,Yes,Yes,6,11.857142857142858,6,13.142857142857142,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,14.714285714285714,6,15.833333333333334,Graduate
International student (bachelor),Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Professional higher technical course,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,6,13.5,5,13.0,Graduate
3rd phase - general contingent,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Yes,Yes,4,11.5,5,12.4,Graduate
Holders of other higher courses,Management,Technological specialization course,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,2,14.0,0,0.0,Dropout
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Yes,Yes,6,12.833333333333334,0,0.0,Dropout
2nd phase - general contingent,Oral Hygiene,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,7,13.428571428571429,8,14.75,Graduate
2nd phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,6,16.0,6,14.333333333333334,Graduate
1st phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,6,13.833333333333334,6,11.833333333333334,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,8,13.2325,8,13.2325,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,14.0,6,14.166666666666666,Graduate
2nd phase - general contingent,Tourism,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,2,10.0,0,0.0,Dropout
Change of course,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,15,13.333333333333334,11,12.272727272727272,Graduate
1st phase - general contingent,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.5,6,11.5,Graduate
2nd phase - general contingent,Management (evening attendance),Unknown,Unknown,Student,Student,No,Yes,2,10.5,0,0.0,Dropout
International student (bachelor),Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,4,12.0,5,11.4,Graduate
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,14.0,6,13.5,Dropout
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,6,13.5,5,12.6,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,8,13.07375,8,13.07375,Graduate
Over 23 years old,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,Yes,2,10.75,0,0.0,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,14.0,6,13.333333333333334,Graduate
International student (bachelor),Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,6,12.333333333333334,6,13.428571428571429,Graduate
2nd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,13.464285714285714,8,14.788888888888888,Graduate
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,Yes,Yes,6,13.666666666666666,6,14.666666666666666,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,8,14.4025,8,14.4025,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,15.46875,8,16.3875,Graduate
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,6,12.625,6,14.166666666666666,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,14.983333333333334,6,14.983333333333334,Graduate
1st phase - special contingent (Madeira Island),Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,Yes,Yes,6,15.0,6,13.0,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,9,15.88888888888889,7,14.142857142857142,Graduate
Technological specialization diploma holders,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,11.5,3,11.0,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,2,10.5,1,10.0,Dropout
2nd phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,13.983333333333334,6,13.983333333333334,Graduate
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,13.0,6,12.833333333333334,Graduate
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,6,13.666666666666666,6,13.0,Graduate
Over 23 years old,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,14.4,5,15.4,Graduate
1st phase - general contingent,Basic Education,Other - 11th year of schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,6,14.166666666666666,6,13.666666666666666,Graduate
2nd phase - general contingent,Social Service (evening attendance),Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,No,Yes,5,12.2,6,12.0,Graduate
2nd phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,3,12.333333333333334,2,10.5,Dropout
Over 23 years old,Agronomy,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
Holders of other higher courses,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,9,10.88888888888889,10,11.615384615384617,Graduate
Over 23 years old,Oral Hygiene,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,6,12.166666666666666,8,11.675,Dropout
2nd phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.666666666666666,6,12.166666666666666,Graduate
1st phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,11.4,5,12.2,Dropout
Change of course,Animation and Multimedia Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Dropout
